sent_id	left_context	pivot	right_context
test-s110	संभावना 	जताई	 जा रही है कि वह पाकिस्तान में पाँच दिन रहेंगे और इस दौरान वह राष्ट्रपति परवेज़ मुशर्रफ से दो बार मुलाक़ात कर सकते हैं । 
test-s122	सिन्हा ने 	कहा	 कि हिमलिंग को संरक्षित करने की तकनीक उसे छह महीने तक दर्शन के लिए उपलब्ध कराने में सहायक होगी । 
test-s141	वाजपेयी ने मनाली में पलटवार करते हुए 	कहा	 है कि गुजरात की चर्चा राष्ट्रीय कार्यकारिणी में अवश्य होगी । 
test-s146	वेंकैया ने वाजपेयी के बयान को काटते हुए 	कहा	 था कि राष्ट्रीय कार्यकारिणी में नरेंद्र मोदी को लेकर कोई चर्चा नहीं होगी । 
test-s170	अनिल ने इसमें 	लिखा	, जैन के साथ आईपीसीएल में बने रहना मेरे सम्मान के खिलाफ है । 
test-s228	उन्होंने 	कहा	 कि सीमा पार से आतंकवादियों की घुसपैठ में हाल में कमी की वजह बाढ़ और सुरक्षा बलों द्वारा निगरानी का बढ़ाया जाना है । 
test-s231	लिब्रहान आयोग के समक्ष शुक्रवार को भाजपा ने 	कहा	 कि वह अयोध्या में विवादित ढाँचे को गिराए जाने के विरोध में थी । 
test-s234	भाजपा के वकील सत्यपाल जैन ने शुक्रवार को आयोग के समक्ष 	कहा	 कि भाजपा अयोध्या में विवादित ढाँचे को गिराए जाने के विरोध में थी । 
test-s236	उन्होंने 	कहा	 कि ढ़ाँचे को गिराया जाना दुर्भाग्यपूर्ण था और पार्टी ढाँचे को किसी तरह का नुक़सान नहीं पहुँचाना चाहती थी । 
test-s304	सचिव ने 	बताया	 कि संसद के शीतकालीन सत्र में सरकार राष्ट्रीय बाल आयोग का विधेयक लोक सभा और राज्य सभा में रखेगी । 
test-s326	सुनवाई के दौरान मजिस्ट्रेट ने शंकराचार्य से उनके स्वास्थ्य के बारे में पूछा तो उन्होंने कहा, मैं 	कह	 नहीं सकता कि ठीक हूँ । 
test-s334	भाजपा के राष्ट्रीय उपाध्यक्ष और झारखंड के पूर्व मुख्यमंत्री बाबू लाल मरांडी ने बृहस्पतिवार को 	कहा	 कि वह पार्टी अध्यक्ष लाल कृष्ण आडवाणी से तब मिलेंगे जब उन्हें बुलाया जाएगा । 
test-s338	सूत्रों का 	कहना	 है कि पांडेय की नियुक्ति का विरोध कर रहे पार्टी के कुछ वरिष्ठ नेताओं के खिलाफ यह आयोजन शक्ति प्रदर्शन का एक अवसर रहेगा । 
test-s348	आईओसी अध्यक्ष एस. बेहुरिया ने यहाँ पत्रकारों से 	कहा	 कि यदि कच्चे तेल की कीमतें मौजूदा स्तर पर क़ायम रहती हैं, तो वर्ष 2006 - 07 के लिए हमारा राजस्व घाटा करीब 30 हजार करोड़ रुपये रहेगा । 
test-s500	भारद्वाज ने 	कहा	 कि विधान परिषद के जरिए मेधावी लोगों को विधायिका में आने का मौका मिलेगा । 
test-s530	प्रदर्शन का नेतृत्व कर रहे सपा के पूर्व सांसद सी. एन. सिंह ने 	कहा	 कि हम ईंट का जवाब पत्थर से देंगे । 
test-s533	पूर्व सांसद अखिलेश सिंह ने 	कहा	 कि अमर सिंह का फोन टैप कराना उनकी निजता का हनन है । 
test-s543	हैदराबाद में एक सम्मेलन के दौरान यूपीए सरकार के खिलाफ मोर्चा खोलते हुए माकपा महासचिव प्रकाश करात ने रविवार को 	कहा	 कि वाम दलों का मानना है कि विदेश नीति स्वतंत्र होनी चाहिए । 
test-s564	इंफाल से २५ किलोमीटर दूर लेइमाखोंग स्थित ५७ - माउंटेन डिवीज़न के मुख्यालय में संवाददाता सम्मेलन में रक्षामंत्री प्रणब मुखर्जी ने यूएनएलएफ के प्रस्ताव को नकारते हुए 	कहा	 कि यह किसी भी तरह से संभव नहीं है । 
test-s565	मणिपुर की आज़ादी की माँग करने वाले उग्रवादी संगठन यूएनएलएफ ने 	कहा	 कि केंद्र सरकार अगर संयुक्त राष्ट्र के अधिकारियों के सामने जनमतसंग्रह करवाने के लिए तैयार हो तो वह हथियार डालने के लिए तैयार है । 
test-s615	यह पूछे जाने पर कि ईपीएफ ब्याज दर ९.५ फीसदी करने के बाद ९२७ करोड़ के घाटे को सरकार किस तरह पूरा करेगी राव ने 	कहा	, सरकार इस पैसे का इंतजाम करेगी । 
test-s619	श्रम मंत्री राव ने 	बताया	 कि मर्सर की रिपोर्ट पर सीबीटी निवेश पैटर्न को पुनर्गठित करने के बारे में अपना निर्णय लेगा । 
test-s637	यहाँ संवाददाताओं से सिंह ने 	कहा	 कि वे बलूचिस्तान में स्थित हिंगलाज माता के शक्तिपीठ का दर्शन करेंगे । 
test-s643	उन्होंने 	कहा	 कि वह क़ायदेआज़म मुहम्मद अली जिन्ना की मज़ार पर भी जाएंगे । 
test-s648	बलूचिस्तान पर हाल ही में अमेरिका द्वारा की गई टिथी के बारे में सिंह ने 	कहा	 कि वह पाकिस्तान सरकार और बलूचिस्तान की राजनीति में दखल नहीं देंगे । 
test-s650	जिन्ना पर प्रस्तावित पुस्तक के बारे में उन्होंने 	कहा	 कि यह राजनीतिक जीवनी होगी । 
test-s655	उन्होंने उम्मीद 	जताई	 कि उनके इस नए खोजी खुलासे का भी यही हश्र होगा । 
test-s659	२८ दिसंबर को पार्टी के १२०वें स्थापना दिवस का जिक्र करते हुए उन्होंने 	कहा	 कि पार्टी अध्यक्ष पुणे में स्थापना दिवस मनाएगीं । 
test-s663	लोक जनशक्ति पार्टी नेता राम विलास पासवान ने 	कहा	 कि बिहार विधानसभा चुनाव के परिणाम का असर केंद्र की यूपीए सरकार की स्थिरता पर नहीं पड़ेगा । 
test-s664	उन्होंने 	कहा	 कि इस बार राज्य में त्रिशंकु विधानसभा नहीं होगी । 
test-s667	उन्होंने जोर देते हुए 	कहा	 कि वे चुनाव से पहले या बाद में किसी भी तरह से लालू यादव की पार्टी राजद का समर्थन नहीं करेंगे । 
test-s668	पासवान ने 	कहा	 कि इस बार उनकी पार्टी राज्य में मुख्यमंत्री पद के लिए किसी भी दल के मुस्लिम उम्मीदवार को स्वीकार नहीं करेगी । 
test-s670	पासवान ने 	कहा	 कि अगर चुनाव में उनके गठबंधन को जीत मिलती है तो लोक जनशक्ति पार्टी (लोजपा) का कोई उम्मीदवार मुख्यमंत्री बनेगा । 
test-s689	वे 	चाहती	 हैं कि जांच एजेंसी नतीजे के बारे में जानकारी दे तथा दोषियों को जल्द गिरफ्तार करे । 
test-s710	उन्होंने 	बताया	 कि बिजनेस स्टैंडर्ड के आठ सदस्यीय बोर्ड में अब फाइनेंशियल टाइम्स का भी एक प्रतिनिधि होगा । 
test-s712	बिहार विधानसभा में राजग की जीत के बाद गठबंधन के मुख्यमंत्री पद के दावेदार नितीश कुमार ने 	कहा	 है कि सुशासन और बिहार को विकास की पटरी पर लाना उनकी प्राथमिकता होगी । 
